indexname,index_size,idx_scan,idx_tup_read,idx_tup_fetch,indexdef
gin_conteudo__geoespacial_vetor_campos_obrigatorios,16 kB,0,0,0,CREATE INDEX gin_conteudo__geoespacial_vetor_campos_obrigatorios ON dicionario.conteudo__geoespacial_vetor USING gin (campos_obrigatorios)
gin_conteudo__geoespacial_vetor_campos_opcionais,16 kB,0,0,0,CREATE INDEX gin_conteudo__geoespacial_vetor_campos_opcionais ON dicionario.conteudo__geoespacial_vetor USING gin (campos_opcionais)
gin_conteudo__geoespacial_vetor_tipos_dados_atributos,16 kB,0,0,0,CREATE INDEX gin_conteudo__geoespacial_vetor_tipos_dados_atributos ON dicionario.conteudo__geoespacial_vetor USING gin (tipos_dados_atributos)
gin_conteudo__geoespacial_vetor_dominios_atributos,16 kB,0,0,0,CREATE INDEX gin_conteudo__geoespacial_vetor_dominios_atributos ON dicionario.conteudo__geoespacial_vetor USING gin (dominios_atributos)
gin_conteudo__midia_palavras_chave_visuais,16 kB,0,0,0,CREATE INDEX gin_conteudo__midia_palavras_chave_visuais ON dicionario.conteudo__midia USING gin (palavras_chave_visuais)
gin_conteudo__midia_cores_dominantes,16 kB,0,0,0,CREATE INDEX gin_conteudo__midia_cores_dominantes ON dicionario.conteudo__midia USING gin (cores_dominantes)
gin_conteudo__midia_instrumentos_identificados,16 kB,0,0,0,CREATE INDEX gin_conteudo__midia_instrumentos_identificados ON dicionario.conteudo__midia USING gin (instrumentos_identificados)
gin_conteudo__nuvem_pontos_aplicacoes_recomendadas,16 kB,0,0,0,CREATE INDEX gin_conteudo__nuvem_pontos_aplicacoes_recomendadas ON dicionario.conteudo__nuvem_pontos USING gin (aplicacoes_recomendadas)
gin_conteudo__nuvem_pontos_classes_pontos,16 kB,0,0,0,CREATE INDEX gin_conteudo__nuvem_pontos_classes_pontos ON dicionario.conteudo__nuvem_pontos USING gin (classes_pontos)
gin_conteudo__nuvem_pontos_distribuicao_classes,16 kB,0,0,0,CREATE INDEX gin_conteudo__nuvem_pontos_distribuicao_classes ON dicionario.conteudo__nuvem_pontos USING gin (distribuicao_classes)
gin_conteudo__pacote_projetos_relacionados,16 kB,0,0,0,CREATE INDEX gin_conteudo__pacote_projetos_relacionados ON dicionario.conteudo__pacote USING gin (projetos_relacionados)
gin_conteudo__pacote_versoes_software,16 kB,0,0,0,CREATE INDEX gin_conteudo__pacote_versoes_software ON dicionario.conteudo__pacote USING gin (versoes_software)
gin_conteudo__pacote_documentacao_incluida,16 kB,0,0,0,CREATE INDEX gin_conteudo__pacote_documentacao_incluida ON dicionario.conteudo__pacote USING gin (documentacao_incluida)
gin_conteudo__pacote_dependencias_externas,16 kB,0,0,0,CREATE INDEX gin_conteudo__pacote_dependencias_externas ON dicionario.conteudo__pacote USING gin (dependencias_externas)
gin_conteudo__pacote_sistemas_operacionais,16 kB,0,0,0,CREATE INDEX gin_conteudo__pacote_sistemas_operacionais ON dicionario.conteudo__pacote USING gin (sistemas_operacionais)
gin_conteudo__pacote_softwares_necessarios,16 kB,0,0,0,CREATE INDEX gin_conteudo__pacote_softwares_necessarios ON dicionario.conteudo__pacote USING gin (softwares_necessarios)
gin_conteudo__tabular_metricas_disponiveis,16 kB,0,0,0,CREATE INDEX gin_conteudo__tabular_metricas_disponiveis ON dicionario.conteudo__tabular USING gin (metricas_disponiveis)
gin_conteudo__tabular_dimensoes_analiticas,16 kB,0,0,0,CREATE INDEX gin_conteudo__tabular_dimensoes_analiticas ON dicionario.conteudo__tabular USING gin (dimensoes_analiticas)
gin_conteudo__tabular_analises_possiveis,16 kB,0,0,0,CREATE INDEX gin_conteudo__tabular_analises_possiveis ON dicionario.conteudo__tabular USING gin (analises_possiveis)
gin_conteudo__tabular_visualizacoes_sugeridas,16 kB,0,0,0,CREATE INDEX gin_conteudo__tabular_visualizacoes_sugeridas ON dicionario.conteudo__tabular USING gin (visualizacoes_sugeridas)
gin_conteudo__tabular_cruzamentos_recomendados,16 kB,0,0,0,CREATE INDEX gin_conteudo__tabular_cruzamentos_recomendados ON dicionario.conteudo__tabular USING gin (cruzamentos_recomendados)
gin_conteudo__tabular_limitacoes_conhecidas,16 kB,0,0,0,CREATE INDEX gin_conteudo__tabular_limitacoes_conhecidas ON dicionario.conteudo__tabular USING gin (limitacoes_conhecidas)
gin_estrutura__database_tabelas_principais,16 kB,0,0,0,CREATE INDEX gin_estrutura__database_tabelas_principais ON dicionario.estrutura__database USING gin (tabelas_principais)
gin_estrutura__database_relacionamentos_mapeados,16 kB,0,0,0,CREATE INDEX gin_estrutura__database_relacionamentos_mapeados ON dicionario.estrutura__database USING gin (relacionamentos_mapeados)
gin_estrutura__database_esquemas_identificados,16 kB,0,0,0,CREATE INDEX gin_estrutura__database_esquemas_identificados ON dicionario.estrutura__database USING gin (esquemas_identificados)
gin_estrutura__database_extras,16 kB,0,0,0,CREATE INDEX gin_estrutura__database_extras ON dicionario.estrutura__database USING gin (extras)
gin_estrutura__desenho_2d3d_dimensoes_modelo,16 kB,0,0,0,CREATE INDEX gin_estrutura__desenho_2d3d_dimensoes_modelo ON dicionario.estrutura__desenho_2d3d USING gin (dimensoes_modelo)
gin_estrutura__desenho_2d3d_extras,16 kB,0,0,0,CREATE INDEX gin_estrutura__desenho_2d3d_extras ON dicionario.estrutura__desenho_2d3d USING gin (extras)
gin_estrutura__documentos_texto_extras,16 kB,0,0,0,CREATE INDEX gin_estrutura__documentos_texto_extras ON dicionario.estrutura__documentos_texto USING gin (extras)
gin_estrutura__geodatabase_sistemas_coordenadas,16 kB,0,0,0,CREATE INDEX gin_estrutura__geodatabase_sistemas_coordenadas ON dicionario.estrutura__geodatabase USING gin (sistemas_coordenadas)
gin_estrutura__geodatabase_tipos_geometria,16 kB,0,0,0,CREATE INDEX gin_estrutura__geodatabase_tipos_geometria ON dicionario.estrutura__geodatabase USING gin (tipos_geometria)
gin_estrutura__geodatabase_extensoes_espaciais,16 kB,0,0,0,CREATE INDEX gin_estrutura__geodatabase_extensoes_espaciais ON dicionario.estrutura__geodatabase USING gin (extensoes_espaciais)
gin_estrutura__geodatabase_domains_atributos,16 kB,0,0,0,CREATE INDEX gin_estrutura__geodatabase_domains_atributos ON dicionario.estrutura__geodatabase USING gin (domains_atributos)
gin_estrutura__geodatabase_subtypes_definidos,16 kB,0,0,0,CREATE INDEX gin_estrutura__geodatabase_subtypes_definidos ON dicionario.estrutura__geodatabase USING gin (subtypes_definidos)
gin_estrutura__geodatabase_extras,16 kB,0,0,0,CREATE INDEX gin_estrutura__geodatabase_extras ON dicionario.estrutura__geodatabase USING gin (extras)
gin_estrutura__geoespacial_raster_estatisticas,16 kB,0,0,0,CREATE INDEX gin_estrutura__geoespacial_raster_estatisticas ON dicionario.estrutura__geoespacial_raster USING gin (estatisticas)
gin_estrutura__geoespacial_raster_histogramas,16 kB,0,0,0,CREATE INDEX gin_estrutura__geoespacial_raster_histogramas ON dicionario.estrutura__geoespacial_raster USING gin (histogramas)
gin_estrutura__geoespacial_raster_extras,16 kB,0,0,0,CREATE INDEX gin_estrutura__geoespacial_raster_extras ON dicionario.estrutura__geoespacial_raster USING gin (extras)
gin_estrutura__geoespacial_vetor_extras,16 kB,0,0,0,CREATE INDEX gin_estrutura__geoespacial_vetor_extras ON dicionario.estrutura__geoespacial_vetor USING gin (extras)
gin_estrutura__midia_extras,16 kB,0,0,0,CREATE INDEX gin_estrutura__midia_extras ON dicionario.estrutura__midia USING gin (extras)
gin_estrutura__nuvem_pontos_configuracao_voo,16 kB,0,0,0,CREATE INDEX gin_estrutura__nuvem_pontos_configuracao_voo ON dicionario.estrutura__nuvem_pontos USING gin (configuracao_voo)
gin_estrutura__nuvem_pontos_filtros_aplicados,16 kB,0,0,0,CREATE INDEX gin_estrutura__nuvem_pontos_filtros_aplicados ON dicionario.estrutura__nuvem_pontos USING gin (filtros_aplicados)
gin_estrutura__nuvem_pontos_classificacoes_disponiveis,16 kB,0,0,0,CREATE INDEX gin_estrutura__nuvem_pontos_classificacoes_disponiveis ON dicionario.estrutura__nuvem_pontos USING gin (classificacoes_disponiveis)
gin_estrutura__nuvem_pontos_extras,16 kB,0,0,0,CREATE INDEX gin_estrutura__nuvem_pontos_extras ON dicionario.estrutura__nuvem_pontos USING gin (extras)
gin_estrutura__pacote_tipos_arquivo_contidos,16 kB,0,0,0,CREATE INDEX gin_estrutura__pacote_tipos_arquivo_contidos ON dicionario.estrutura__pacote USING gin (tipos_arquivo_contidos)
gin_estrutura__pacote_estrutura_diretorios,16 kB,0,0,0,CREATE INDEX gin_estrutura__pacote_estrutura_diretorios ON dicionario.estrutura__pacote USING gin (estrutura_diretorios)
gin_estrutura__pacote_perfis_identificados,16 kB,0,0,0,CREATE INDEX gin_estrutura__pacote_perfis_identificados ON dicionario.estrutura__pacote USING gin (perfis_identificados)
gin_estrutura__pacote_extras,16 kB,0,0,0,CREATE INDEX gin_estrutura__pacote_extras ON dicionario.estrutura__pacote USING gin (extras)
gin_estrutura__tabular_tipos_colunas,16 kB,0,0,0,CREATE INDEX gin_estrutura__tabular_tipos_colunas ON dicionario.estrutura__tabular USING gin (tipos_colunas)
gin_estrutura__tabular_colunas_nomes,16 kB,0,0,0,CREATE INDEX gin_estrutura__tabular_colunas_nomes ON dicionario.estrutura__tabular USING gin (colunas_nomes)
gin_estrutura__tabular_colunas_obrigatorias,16 kB,0,0,0,CREATE INDEX gin_estrutura__tabular_colunas_obrigatorias ON dicionario.estrutura__tabular USING gin (colunas_obrigatorias)
gin_estrutura__tabular_colunas_chave,16 kB,0,0,0,CREATE INDEX gin_estrutura__tabular_colunas_chave ON dicionario.estrutura__tabular USING gin (colunas_chave)
gin_estrutura__tabular_possivel_chave_estrangeira,16 kB,0,0,0,CREATE INDEX gin_estrutura__tabular_possivel_chave_estrangeira ON dicionario.estrutura__tabular USING gin (possivel_chave_estrangeira)
gin_estrutura__tabular_relacionamentos_detectados,16 kB,0,0,0,CREATE INDEX gin_estrutura__tabular_relacionamentos_detectados ON dicionario.estrutura__tabular USING gin (relacionamentos_detectados)
gin_estrutura__tabular_extras,16 kB,0,0,0,CREATE INDEX gin_estrutura__tabular_extras ON dicionario.estrutura__tabular USING gin (extras)
gin_extensao_mime_types,16 kB,0,0,0,CREATE INDEX gin_extensao_mime_types ON dicionario.extensao USING gin (mime_types)
gin_status_publicacao_geoserver_servicos_habilitados,16 kB,0,0,0,CREATE INDEX gin_status_publicacao_geoserver_servicos_habilitados ON dicionario.status_publicacao_geoserver USING gin (servicos_habilitados)
gin_status_publicacao_geoserver_grupos_acesso,16 kB,0,0,0,CREATE INDEX gin_status_publicacao_geoserver_grupos_acesso ON dicionario.status_publicacao_geoserver USING gin (grupos_acesso)
gin_status_publicacao_geoserver_palavras_chave_servico,16 kB,0,0,0,CREATE INDEX gin_status_publicacao_geoserver_palavras_chave_servico ON dicionario.status_publicacao_geoserver USING gin (palavras_chave_servico)
gin_status_publicacao_geoserver_erros_validacao,16 kB,0,0,0,CREATE INDEX gin_status_publicacao_geoserver_erros_validacao ON dicionario.status_publicacao_geoserver USING gin (erros_validacao)
gin_status_publicacao_geoserver_configuracao_avancada,16 kB,0,0,0,CREATE INDEX gin_status_publicacao_geoserver_configuracao_avancada ON dicionario.status_publicacao_geoserver USING gin (configuracao_avancada)
gin_status_publicacao_geoserver_extras,16 kB,0,0,0,CREATE INDEX gin_status_publicacao_geoserver_extras ON dicionario.status_publicacao_geoserver USING gin (extras)
